sheet,pair,metric,cohens_d,mean_i,mean_j,n_i,n_j,p_raw,p_sidak
TRAK isoform (mito),no TRAK vs TRAK2,diff_p4_n4,0.35724636380742963,-53.97749395756746,-60.25990894788801,16,28,0.5218858541410789,0.8907063878072402
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p4_n4,0.8248383660957433,0.06326604196025257,0.02087008045688673,16,28,0.3725052134477429,0.7529241115567322
TRAK isoform (mito),no TRAK vs TRAK2,diff_p4_n5,0.4026642271570497,-62.038201925094,-68.74358226516877,16,28,0.4904737984439871,0.8677183615702064
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p4_n5,0.819371052703462,0.05421197398084793,0.018073162808105007,16,28,0.37763363240386427,0.758932676203382
TRAK isoform (mito),no TRAK vs TRAK2,diff_p5_n1,0.40059941971600144,-20.85199830528596,-26.508506497573652,16,28,0.420347170248188,0.8052381545390195
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p5_n1,0.8668263849290101,0.22194448119894106,0.07216507401777379,16,28,0.3786008466286256,0.7600548524010149
TRAK isoform (mito),no TRAK vs TRAK2,diff_p5_n2,0.3760308341275873,-32.545855547548086,-38.698236559826846,16,28,0.47126424447666704,0.8521858395217332
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p5_n2,0.8798213545996103,0.14957006093067804,0.048120079883162144,16,28,0.3482465804126126,0.7231465400456462
TRAK isoform (mito),no TRAK vs TRAK2,diff_p5_n3,0.3866876693157868,-43.139358109051685,-49.99162267086551,16,28,0.48253696186210404,0.8614399593571065
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p5_n3,0.8791968057378302,0.11523082590788876,0.0367550310482203,16,28,0.33378884997195846,0.704310644325572
TRAK isoform (mito),no TRAK vs TRAK2,diff_p5_n4,0.4047038058415896,-52.44754966460562,-59.70744385194463,16,28,0.48428973928237684,0.8628432085386064
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p5_n4,0.871357572098332,0.09451231369805116,0.030405445590844845,16,28,0.33481327355286283,0.7056725801250354
TRAK isoform (mito),no TRAK vs TRAK2,diff_p5_n5,0.20242795753129353,-63.707559123036184,-67.23451587717578,24,39,0.6112091773702029,0.941231038733376
TRAK isoform (mito),no TRAK vs TRAK2,ratio_p5_n5,0.6320831058545402,0.061891074220019764,0.0266251369113912,24,39,0.3606327148111661,0.7386327115834324
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p1_n1,0.2545437733113363,-24.62643161323571,-28.08658870132004,26,28,0.48846609602250146,0.8661484912393338
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p1_n1,0.7615775294809531,0.035491835644177114,0.008239658055300641,26,28,0.19727995502949702,0.4827597367848484
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p1_n2,0.3285740778389701,-35.11496779309148,-40.27631876357324,26,28,0.4298832296351862,0.8146931606074299
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p1_n2,0.7454667564200623,0.023175862813919233,0.005606962329724197,26,28,0.20251782900884352,0.4928190329476605
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p1_n3,0.3972264318129109,-44.79493144104332,-51.56970487461191,26,28,0.37931301615463964,0.7608788920842555
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p1_n3,0.7303342131355337,0.017291540552027466,0.004309980700718335,26,28,0.20997060824887992,0.5069059677769687
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p1_n4,0.4592343268522604,-53.23748147300861,-61.28552605569104,26,28,0.33319530865645897,0.7035196326969522
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p1_n4,0.7192879997528735,0.014237357708051287,0.003578367011078384,26,28,0.21096951179488743,0.508773990155968
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p1_n5,0.521207312866296,-60.9042707190597,-69.76919937297178,26,28,0.28290036211181335,0.6312444974176092
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p1_n5,0.711156608351684,0.012314753560013119,0.003099411342952792,26,28,0.2085883258222987,0.5043131966310297
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p2_n1,0.30012532447369267,-23.696118135320827,-27.79325449778923,26,28,0.4260401302865835,0.8109204391257943
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p2_n1,0.8323337395772725,0.08302861122004204,0.019509032866505217,26,28,0.15968552690559723,0.40663007411148466
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p2_n2,0.3682126392305906,-34.184654315176594,-39.98298456004242,26,28,0.3843269604670959,0.7666271078109443
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p2_n2,0.8175814291493213,0.0544154184197131,0.013285310350064103,26,28,0.161816342940849,0.41113252699325875
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p2_n3,0.43397101024433277,-43.86461796312844,-51.276370671081104,26,28,0.34385541244243933,0.7175128791613203
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p2_n3,0.8037634105075003,0.040691074332952056,0.01022084870111235,26,28,0.1678062730216534,0.4236672309259176
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p2_n4,0.49472806242182665,-52.307167995093735,-60.99219185216021,26,28,0.3040676904309825,0.6629448254165502
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p2_n4,0.795952815685108,0.03345530885080724,0.008489637949272358,26,28,0.16941515975118004,0.42700345878281576
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p2_n5,0.5570510223042588,-59.97395724114483,-69.47586516944097,26,28,0.2586134521193528,0.5924939084926575
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p2_n5,0.7898886993874868,0.028889902245612477,0.007355881471770147,26,28,0.16884874641216385,0.4258304024759545
