path,plate,well,sheet,condition
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell1.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell11.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell12.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell5.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell6.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell7.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B02_NoV_250616/cell9.nd2,250612_patterned_plate_3,B02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell1.nd2,250612_patterned_plate_3,B03,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell1.nd2,250612_patterned_plate_3,B03,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell12.nd2,250612_patterned_plate_3,B03,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell12.nd2,250612_patterned_plate_3,B03,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell15.nd2,250612_patterned_plate_3,B03,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell15.nd2,250612_patterned_plate_3,B03,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell2.nd2,250612_patterned_plate_3,B03,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell2.nd2,250612_patterned_plate_3,B03,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell3.nd2,250612_patterned_plate_3,B03,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell3.nd2,250612_patterned_plate_3,B03,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell5.nd2,250612_patterned_plate_3,B03,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell5.nd2,250612_patterned_plate_3,B03,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell7.nd2,250612_patterned_plate_3,B03,TRAK isoform (mito),TRAK1
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B03_TRAK1_250616/cell7.nd2,250612_patterned_plate_3,B03,TRAK1 helix muts,T1 wt
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell1.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell1.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell11.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell11.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell12.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell12.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell14.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell14.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell15.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell15.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell2.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell2.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell3.nd2,250612_patterned_plate_3,B04,TRAK isoform (mito),TRAK2
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B04_TRAK2_250616/cell3.nd2,250612_patterned_plate_3,B04,TRAK2 helix muts,TRAK2
