sheet,pair,metric,d,p
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_q25_um,0.5960589856763244,0.11696369425418807
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_q25_um,0.5657521738638843,0.09297339031423701
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_q50_um,0.9687055913359004,0.040931662712587635
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_q50_um,1.194509241934419,0.011527321749684183
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_q75_um,1.3354373488925795,0.017910881673442014
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_q75_um,1.6456401178804623,0.001287365859564349
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_20_35um_frac_pct,-0.7760408117440508,0.1651213915122105
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_20_35um_frac_pct,-1.335355250172708,0.007006884150462245
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_r_35_55um_frac_pct,0.9476288234265249,0.05319369611331248
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_r_35_55um_frac_pct,1.3094145087198619,0.004470268253755294
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_mt_apex_elongation,-0.16632719241604485,0.956182324208347
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_mt_apex_elongation,-0.0042425729078754484,0.9999983370965885
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_mt_apex_lam_min_um2,0.9248638020908199,0.05240191638726188
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_mt_apex_lam_min_um2,0.8430037217647242,0.04667838423280779
TRAK isoform (mito),TRAK1 vs TRAK2,zsum_wedge_frac_pct,-0.14336361526350705,0.7566019033314912
TRAK isoform (mito),TRAK1 vs TRAK2,maxip_wedge_frac_pct,-0.16383688450815156,0.7429584138377989
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_perinuclear_5um_pct,-0.28598973494376206,0.969785905467135
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_perinuclear_5um_pct,-0.25775961697149563,0.9784262850218761
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_peripheral_5um_pct,-0.17743619465295238,0.9645915751454409
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_peripheral_5um_pct,-0.20091139236528968,0.9521471044715756
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_mean_dist_to_nucleus_um,0.33865396589592606,0.9578125882399928
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_mean_dist_to_nucleus_um,0.3067874832641318,0.9680922069881368
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_y_gini,-0.09868276460849007,0.9971546475789543
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_y_gini,0.0010542194488850972,0.9999999935539999
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_y_entropy,0.10827413478543405,0.9968047562007567
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_y_entropy,-0.01585759235884068,0.999978793115789
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_y_sd_um,0.022474412551690123,0.9999797743467649
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_y_sd_um,-0.09830491107086452,0.9982826990520527
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_y_skew,0.5677713442155127,0.6028196106797137
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_y_skew,0.38624729198442753,0.7665417317916668
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_y_mean_um,-0.18795366191328375,0.8878577350358224
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_y_mean_um,-0.07423739917359705,0.991545911246739
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_gini,-0.025852884494914057,0.9999330684454144
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_gini,0.057605580905918115,0.9983486463417521
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_entropy,0.05721925784925648,0.9994028879463117
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_entropy,-0.04856391754150206,0.9989670253754217
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_ks_vs_uniform,-0.020136369648004682,0.9999599331534007
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_ks_vs_uniform,0.11452648642663633,0.9902589823069821
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_sd_um,0.011039493127938041,0.9999967208794435
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_sd_um,-0.0980474198844814,0.9970140840171153
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_skew,-0.6867369129176728,0.5085720435933636
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_skew,-0.5126759707266088,0.6354256425552322
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_mean_um,0.2022607629233812,0.8773674028639289
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_mean_um,0.07729806773732847,0.9917264624693742
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_q25_um,0.29386291075244275,0.6815420176505984
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_q25_um,0.17171037714206502,0.9209989257253097
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_q50_um,0.38019393938536394,0.6847320677271079
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_q50_um,0.2609498646313231,0.848628181088607
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_q75_um,0.2014583331187402,0.9489636253886973
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_q75_um,0.058998901607701056,0.9979783951024839
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_20_35um_frac_pct,-0.26016809702710925,0.954314265957247
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_20_35um_frac_pct,-0.2557636357705869,0.9561063222947707
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_r_35_55um_frac_pct,0.319816483186951,0.8474990091335167
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_r_35_55um_frac_pct,0.21125058385607878,0.9352799337291142
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_mt_apex_elongation,-0.10381819513776978,0.9844014462283652
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_mt_apex_elongation,-0.01388032444010044,0.9999116435710536
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_mt_apex_lam_min_um2,0.24737163770734538,0.9211023808142561
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_mt_apex_lam_min_um2,0.10219034635010407,0.9882842795449027
TRAK isoform (peroxisome),no TRAK vs TRAK1,zsum_wedge_frac_pct,0.1662962766937478,0.9941841292907643
TRAK isoform (peroxisome),no TRAK vs TRAK1,maxip_wedge_frac_pct,0.1332074514456664,0.9965774580062681
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_perinuclear_5um_pct,-0.26033583745728567,0.9755330118553903
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_perinuclear_5um_pct,-0.1824216534209827,0.9923505428536872
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_peripheral_5um_pct,0.07483971836032166,0.997313459807925
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_peripheral_5um_pct,-0.00468855411772059,0.9999991417753769
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_mean_dist_to_nucleus_um,0.14753820406125961,0.9951892034481765
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_mean_dist_to_nucleus_um,0.0571142302834136,0.9997217524817726
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_y_gini,-0.2338491689272016,0.9437215694037843
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_y_gini,-0.23312062617005075,0.9134694122395531
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_y_entropy,0.2858185242461771,0.90802422814889
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_y_entropy,0.2690298618651515,0.8799347479862029
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_y_sd_um,0.2523637294109938,0.9533773748066048
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_y_sd_um,0.17394143109878993,0.9793245039437561
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_y_skew,0.5712242874267525,0.6010234359813453
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_y_skew,0.3784570777028661,0.8441811011301898
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_y_mean_um,-0.281404454754491,0.8381332438290686
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_y_mean_um,-0.0750673927886151,0.9955402880647927
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_gini,-0.21759992428938985,0.949866760061138
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_gini,-0.21025974596864702,0.9139463529151067
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_entropy,0.275903130726758,0.9074894099673404
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_entropy,0.274443868467708,0.8140751847498183
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_ks_vs_uniform,-0.18239866683155653,0.9746814279422819
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_ks_vs_uniform,-0.03441361017844549,0.9997640271480377
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_sd_um,0.361296118503959,0.87937024949492
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_sd_um,0.3386350601609255,0.8678744691351178
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_skew,-0.7474369739306009,0.44591523156105595
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_skew,-0.5783500785364579,0.6246684879585404
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_mean_um,0.24978228069867384,0.8906241193737132
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_mean_um,0.01893126719938562,0.9999306663804931
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_q25_um,0.21884274978494975,0.8870411735146854
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_q25_um,0.00491508665248593,0.9999985946500825
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_q50_um,0.44993664002660627,0.7001667694135849
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_q50_um,0.26693639413917813,0.8925632952173667
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_q75_um,0.40155494822388943,0.8172514251401648
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_q75_um,0.17506148133816987,0.9631379139700957
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_20_35um_frac_pct,-0.6809841856139052,0.40773285686272476
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_20_35um_frac_pct,-0.6115497369288778,0.4242557384183008
TRAK isoform (peroxisome),no TRAK vs TRAK2,zsum_wedge_r_35_55um_frac_pct,0.5550080752352381,0.5539292999787457
TRAK isoform (peroxisome),no TRAK vs TRAK2,maxip_wedge_r_35_55um_frac_pct,0.3534700068982042,0.7724780581497224
