sheet,metric,pair,n_i,n_j,mean_i,mean_j,diff,cohens_d,f_classical,p_classical_anova,t_classical_pair,p_classical_sidak,p_mixedlm_joint,p_mixedlm_sidak,var_plate,var_resid
TRAK2 S84 Ars,den_perinuclear_2um,wt ctrl vs wt Ars,15,18,38.094296968989106,44.545175610265915,-6.450878641276809,-0.43486609568987,1.7281046875662092,0.29884293138117624,-1.535101099430084,0.19955308376155,0.3901862551043095,0.24334182839132745,3.0709728571241822e-6,236.85678809550566
TRAK2 S84 Ars,den_peripheral_2um,wt ctrl vs wt Ars,15,18,1.5973562228866633,0.7467138912042653,0.850642331682398,0.7702764443669174,1.5867093925519042,0.32509608425552433,1.658387363180139,0.17257865874870948,0.23010367588330524,0.14251629927381027,0.15893567438481632,0.9536088909513264
TRAK2 S84 Ars,raw_perinuclear_3um,wt ctrl vs wt Ars,15,18,51.19329011389898,59.3226928444204,-8.12940273052142,-0.3996536653549168,1.6543018590417073,0.3121434121017967,-1.5109984824072995,0.20531478400003222,0.4288462900444575,0.26226597503103766,1.2694615883109275e-6,394.0616807302702
TRAK2 S84 Ars,raw_peripheral_3um,wt ctrl vs wt Ars,15,18,0.8401667405514619,0.12509877885712462,0.7150679616943373,0.785268661908908,2.455393927890736,0.2028656995170218,2.3892950153536563,0.07522535692273147,0.06891911945009611,0.02027838319500974,0.01999669727816427,0.5881719744667857
TRAK2 S84 Ars,den_perinuclear_3um,wt ctrl vs wt Ars,15,18,47.9648084937788,55.74674202646358,-7.781933532684782,-0.49000401899048,2.3045440280104237,0.21860072565693348,-1.8949796174435167,0.13099542096343197,0.31972926748012803,0.1783916213840201,0.000011791520786044363,255.52716557966014
TRAK2 S84 Ars,den_peripheral_3um,wt ctrl vs wt Ars,15,18,2.642383292856274,1.1808797455505835,1.4615035473056905,0.8352743500207425,1.931014848524187,0.2662774995847687,1.933703636897029,0.12528070351550824,0.15576652316003634,0.08067379071636815,0.31994571649949555,2.256292440343012
TRAK2 S84 Ars,raw_perinuclear_4um,wt ctrl vs wt Ars,15,18,61.587206711452126,69.64821368696164,-8.061006975509514,-0.3994534187982979,2.158901224286296,0.2355664818580162,-1.6330094185296293,0.17780440845133683,0.34215851266640024,0.24682496344446425,6.992899718943155e-8,362.935328283959
TRAK2 S84 Ars,raw_peripheral_4um,wt ctrl vs wt Ars,15,18,1.445954144399445,0.24627496816846803,1.199679176230977,0.7002392378330594,3.2903245989617194,0.14001322841243563,2.7686833287377133,0.05039893855222821,0.04159478137191549,0.011138561354520626,5.811202857069309e-9,1.78715773377882
TRAK2 S84 Ars,den_perinuclear_4um,wt ctrl vs wt Ars,15,18,57.106388240151865,65.36523186784574,-8.25884362769387,-0.5110951570131506,3.232405337117889,0.14336721749087247,-2.222056536856365,0.09040530497691235,0.26592774224756244,0.16007709223232214,3.5353697550078357e-7,249.09691199159005
TRAK2 S84 Ars,den_peripheral_4um,wt ctrl vs wt Ars,15,18,3.83818665143847,1.7891764044923495,2.0490102469461204,0.7796390519594838,2.1457652137078402,0.23719139058274027,2.072061144893406,0.10698009601512481,0.11611638549247162,0.05482723746749607,0.42259601642024663,4.760940244384682
